Address,latitude,longitude
"Lajpat Nagar, New Delhi, Lajpat Nagar 4, New Delhi - South, Delhi NCR",28.564363,77.24171
"Plot Number 6 Flat number 101  Hans enclave Gurgaon, Hans Enclave, Gurgaon, Delhi NCR",28.49746704,77.02709961
"Vasundhara Enclave, New Delhi - East, Delhi NCR",28.6017251,77.3178069
"Row House, Sector 21 Surya Vihar-, Gurgaon, Delhi NCR",28.51766396,77.07933044
"Sector 37D, Gurgaon, Delhi NCR",28.446568,76.968477
"4a/301, Sector 85, Gurgaon, Delhi NCR",28.406684,76.952289
"Noida-Greater Noida Expy, Sector 134, Noida, Uttar Pradesh, Sector 134, Noida, Delhi NCR",28.503955,77.384451
"Wave Floor Sec- 2, Wave City N.H. - 24 Ghaziabad, Wave City, Ghaziabad, Delhi NCR",28.646836,77.508238
"Indirapuram, Nyay Khand 1, Ghaziabad, Delhi NCR",28.63350296,77.43159485
"Sector 70A, Gurgaon, Delhi NCR",28.385432,77.017122
"Sector 48, Gurgaon, Delhi NCR",28.41492081,77.03590393
"Sector 80, Gurgaon, Sector 80, Gurgaon, Delhi NCR",28.37561513,76.95761609
"Yamuna Expressway, Greater Noida, Delhi NCR",28.309616,77.55859
"Sector 137, Noida, Delhi NCR",28.505584,77.410762
"Niti Khand  1 Indirapuram Ghaziabad, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",28.63601494,77.43365479
"Plot No.1, Gadaipur, Mehrauli-Mandi Road, Gadaipur, New Delhi - South, Delhi NCR",28.4826489,77.1600563
"sector 2, Rajendra Nagar, Ghaziabad, Delhi NCR",28.68176651,77.36365509
"I block - 21069, Noida Extension, Noida, Delhi NCR",28.616204,77.422256
"Sector 60, Gurgaon, Delhi NCR",28.400064,77.0959513
"Sector 42, Gurgaon, Delhi NCR",28.45846939,77.10864258
"NH 24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",28.663705,77.470854
"Sector 17, Faridabad, Delhi NCR",28.40966797,77.33113861
"Vasundhara, Ghaziabad, Delhi NCR",28.655782,77.3527833
"H.No. 18A, Adarsh Nagar, Nandgram, Ghaziabad, Nand Gram, Ghaziabad, Delhi NCR",28.69149399,77.40766907
"Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",28.5593993,77.0596789
"Raj Nagar Extension Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",28.70019204,77.427474
"2 Floor, Sector 16A, Faridabad, Delhi NCR",28.4088605,77.314687
"Sector 37D, Gurgaon, Sector 37D, Gurgaon, Delhi NCR",28.455376,76.97621181
"Moti Nagar, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",28.66605949,77.15013123
"Faridabad, Faridabad, Delhi NCR",28.48146057,77.31151581
"Indirapuram, Ghaziabad, Vaibhav Khand, Ghaziabad, Delhi NCR",28.63822365,77.3663559
"Shakti Khand 2, Shakti Khand 2, Ghaziabad, Delhi NCR",28.64673996,77.37094879
"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",28.646093,77.384003
"Cgu061., Kirti Nagar, New Delhi - West, Delhi NCR",28.666059,77.150134
"Sector 45, Noida, Sector 45, Noida, Delhi NCR",28.548787,77.346032
"GA 703 Assotech Windsor court Sector 78Noida, Sector 78, Noida, Delhi NCR",28.56118696,77.3865692
"Golf course Extension Road, Gurgaon, Sector 66, Gurgaon, Delhi NCR",28.401255,77.053437
"Second Floor Villa 83 Block III Charmwood Village, Charmwood Village, Faridabad, Delhi NCR",28.4913752,77.2908548
"Sector 75, Noida, Sector 75, Noida, Delhi NCR",28.57844059,77.38140753
"Sector 143B, Noida, Uttar Pardes, Sector 143 B, Noida, Delhi NCR",28.495486,77.25219
"151., Indirapuram, Ghaziabad, Delhi NCR",28.6493479,77.3696259
"Sector 143A, Noida, Delhi NCR",28.4992485,77.42980194
"Sector 35 Sohna, Gurgaon, Delhi NCR",28.283682,77.047379
